股票代码,股票简称,现价(元),涨跌幅(%),区间收盘价:前复权(元)2020.01.02-2020.12.09,加权净资产收益率(%)2020.09.30,区间开盘价:前复权(元)2020.01.02-2020.12.09,区间最高价:前复权(元)2020.01.02-2020.12.09,区间最低价:前复权(元)2020.01.02-2020.12.09,所属同花顺行业,预测净资产收益率(%)2022.12.31,预测净资产收益率(%)2021.12.31,预测净资产收益率(%)2020.12.31,净利润(元)2020.09.30,净资产(元)2020.09.30
000672.SZ,上峰水泥,21.90,-0.770,21.90,25.95,17.61,31.98,14.6,建筑材料-建筑材料-水泥制造,27.6458,31.0518,35.6191,1513983271.32,6640866937.11
003006.SZ,百亚股份,21.89,-2.148,21.87,16.98,--,22.95,7.93,轻工制造-造纸-造纸Ⅲ,20.3917,19.8067,18.8867,130034113,1071975884
603606.SH,东方电缆,21.76,-1.582,21.78,25.58,10.94,29.74,10.2,机械设备-电气设备-其他电力设备,26.755,30.3436,29.4671,613370761.85,2863491859.44
600566.SH,济川药业,21.65,-0.870,21.65,15.92,23.04,29.67,18.37,医药生物-中药-中药Ⅲ,16.6,17.1,17.4,959544959.15,7445512752.81
002950.SZ,奥美医疗,21.58,-2.441,21.58,35.51,13.56666667,40.14,13.27333333,医药生物-医疗器械服务-医疗器械Ⅲ,30.975,32.76,35.37,959153800.8,2750209930.41
002382.SZ,蓝帆医疗,21.56,-1.732,21.56,20.52,12.06,38.4,12,医药生物-医疗器械服务-医疗器械Ⅲ,16.9667,23.1333,30.9,1888153640.89,10036586826.88
003013.SZ,地铁设计,21.28,-2.831,21.28,19.9,--,25.74,16.12,建筑材料-建筑装饰-基础建设,--,--,--,232823357.37,1302960748.01
002511.SZ,中顺洁柔,21.12,-0.938,21.13,15.18,12.655,27.15,11.575,轻工制造-造纸-造纸Ⅲ,18.5558,18.9413,18.8491,671693102.07,4782303157.64
603568.SH,伟明环保,21.05,-1.544,21.05,19.52,17.49230769,26.45,17.32307692,公用事业-环保工程-环保工程及服务,22.6738,23.16,22.9138,907346808.34,5068794255.23
300737.SZ,科顺股份,20.95,-0.805,20.95,16.52,11.53,32.17,10.3,建筑材料-建筑材料-其他建材,21.2244,20.196,19.9007,574569707.59,3808147164.76
002236.SZ,大华股份,20.50,-1.726,20.50,16.51,19.977,24.51,14.61,电子-电子制造-电子系统组装,19.7538,20.03,20.4556,2825124363.85,18912582844.27
002653.SZ,海思科,20.45,-1.824,20.45,15.81,20.27807,30,17.88807,医药生物-化学制药-化学制剂,21.4,20.7,21.5,402740565.12,2670025892.95
000708.SZ,中信特钢,20.26,-0.735,20.26,16.87,12.96470588,22.32,9.63529412,黑色金属-钢铁-特钢,19.117,19.633,20.119,4346390398.64,26711475557.93
300439.SZ,美康生物,20.10,-2.142,20.10,20.26,13.6,24.66,12.53,医药生物-医疗器械服务-医疗器械Ⅲ,--,--,--,299455506.39,1668111687.79
300390.SZ,天华超净,20.06,1.211,20.06,23.37,6.28,20.85,6.08,电子-其他电子-其他电子Ⅲ,14.6,9.6,23.5,229762272.05,1106172215.05
002463.SZ,沪电股份,19.80,-1.591,19.80,17.55,22.29,31.28,17.68,电子-半导体及元件-印制电路板,24.0143,23.7071,22.7543,954593694,5831254905
300461.SZ,田中精机,19.60,14.219,19.60,56.02,19.66,29.23,14.23,机械设备-专用设备-其它专用机械,--,--,--,33217347.59,88165365.81
300498.SZ,温氏股份,19.57,-1.311,19.58,17.34,27.05833333,31.06666667,17.9,农林牧渔-养殖业-畜禽养殖,17.6743,24.3521,28.4543,8241484078.37,48489282666.19
